1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
67108 522 257 736 5114 0 2151 1589 14 23 71 49 82 409 515 915 1124 1694 298 351
18676 620 325 817 6172 0 2450 1909 17 22 79 47 88 450 654 1155 1410 1885 334 479
10051 746 390 858 8049 0 2053 1737 5 18 62 48 88 444 670 1174 1247 1555 278 421
7091 529 291 780 5430 0 1695 1229 14 13 50 34 70 326 512 887 803 1210 187 289
56857 542 312 1068 4620 0 1743 1104 7 15 46 31 75 266 437 764 702 1106 179 308
86657 475 271 957 5065 0 1929 1384 11 19 38 28 58 259 560 861 699 1159 214 352
81880 495 213 948 4731 0 1852 1357 16 18 37 29 55 253 462 679 678 1220 250 341
32648 599 281 751 5573 0 2161 1724 13 28 49 35 75 343 526 830 934 1609 336 423
29001 582 301 690 5910 0 2335 2018 6 20 71 35 68 440 591 1048 1221 1892 373 461
48663 700 348 877 6865 0 2270 1671 8 25 89 42 71 389 680 1056 1170 1568 283 406
68755 455 254 751 5086 0 1755 1184 5 16 51 34 46 242 526 820 770 1272 214 337
20140 410 251 848 4966 0 1908 1104 6 4 74 28 43 245 324 662 674 1219 266 377
112405 523 259 846 4194 0 1881 1025 12 16 44 29 53 232 389 590 664 1185 315 353
62649 417 266 746 4416 0 2278 1155 12 18 55 31 55 283 379 641 770 1387 390 465
6953 451 292 824 4901 0 2690 1338 10 12 54 46 46 319 463 806 925 1697 472 687
25983 603 293 618 5863 0 2697 1451 8 21 73 49 65 410 629 931 1107 1678 506 930
89082 663 393 892 6699 0 2158 1554 10 19 51 36 82 395 679 955 1060 1611 284 427
78788 542 240 664 5332 0 1624 1040 5 7 63 46 58 240 391 694 654 1179 176 317
111394 499 276 810 4830 0 1831 955 14 11 45 37 49 220 392 642 530 1230 163 318
67958 422 243 755 4779 0 1974 1132 11 11 44 22 46 258 362 635 510 1373 219 308
17826 487 246 641 5125 0 2198 1251 7 9 37 31 53 291 439 609 614 1427 231 305
54176 410 316 757 4477 0 2599 1434 8 11 60 39 67 318 478 721 768 1751 327 462
9307 544 304 785 6383 0 2849 1896 9 29 68 49 83 437 678 971 1052 1975 384 506
8949 685 406 752 7511 0 2748 1997 2 26 86 57 51 517 706 1184 1109 1979 277 576
28547 491 278 823 5171 0 2297 1417 9 19 56 25 53 356 407 749 674 1585 233 400
78316 462 293 651 4541 0 2318 1343 6 10 41 34 45 364 333 703 576 1542 235 416
102483 392 232 623 4360 0 2447 1405 6 12 42 33 44 327 408 685 597 1634 284 419
6982 421 258 820 4298 0 2789 1589 10 11 63 35 40 343 448 747 683 1752 332 510
35285 471 263 723 4800 0 3557 1745 21 19 49 39 57 397 552 813 962 2170 382 662
55725 519 340 572 5876 0 4067 2044 25 31 85 61 76 531 660 1101 1347 2460 433 847
35327 741 356 1023 7254 0 3844 1808 11 14 83 63 78 502 603 1231 1242 2461 398 729
78656 533 279 925 5287 0 3318 1341 6 3 57 33 40 320 530 880 899 1903 308 583
84201 577 212 863 5396 0 3562 1258 24 14 66 72 44 332 519 817 784 1923 353 652
7168 501 278 819 4808 0 4215 1389 16 17 56 80 56 405 512 1127 836 2631 477 836
